id;phone;jhi_type;contact_id
161;+864629262952;OTHER;821
162;+865654854333;OTHER;964
163;+634393400743;WORK;919
164;+454116698672;MOBILE;955
165;+343069442468;MOBILE;822
166;+553636339256;WORK;921
167;+487027809880;WORK;977
168;+2563729577649;MOBILE;979
169;+869191744139;OTHER;923
170;+9766027409813;MOBILE;908
171;+278838023312;WORK;431
172;+3557689667441;MOBILE;967
173;+74531554931;WORK;979
174;+16162702277;OTHER;867
175;+519572919208;OTHER;979
176;+336437393529;WORK;893
177;+847444714991;WORK;973
178;+331406285127;MOBILE;824
179;+72084815784;OTHER;978
180;+625244871140;MOBILE;311
181;+3518937393653;OTHER;920
182;+2346243184639;WORK;874
183;+13471337576;MOBILE;975
184;+3805391115447;OTHER;867
185;+72307009606;MOBILE;780
186;+488068373149;OTHER;886
187;+339046509728;MOBILE;742
188;+869476717613;MOBILE;860
189;+339129366442;OTHER;875
190;+661811046213;OTHER;805
191;+849961473875;OTHER;995
192;+75426857032;OTHER;622
193;+2612586858059;MOBILE;776
194;+638076879476;OTHER;924
195;+551558871382;WORK;950
196;+624789877524;WORK;835
197;+469853362086;MOBILE;895
198;+634898103002;OTHER;950
199;+2122239931117;OTHER;924
200;+337879964227;WORK;927
201;+863372682439;OTHER;988
202;+628966782567;OTHER;437
203;+633116402354;OTHER;911
204;+869895547044;MOBILE;816
205;+519786973177;OTHER;977
206;+623278546185;MOBILE;986
207;+481288383524;MOBILE;962
208;+552021865947;OTHER;901
209;+863728889726;WORK;970
210;+549984613890;MOBILE;812
211;+545669972310;MOBILE;989
212;+615832758894;MOBILE;858
213;+9628507989981;OTHER;947
214;+74797094910;WORK;933
215;+3511405580837;OTHER;783
216;+864394900221;OTHER;927
217;+638578842012;MOBILE;937
218;+631508900528;WORK;912
219;+6874639798469;OTHER;874
220;+77846846878;MOBILE;934
221;+468457914687;OTHER;957
222;+865177435481;OTHER;938
223;+864506031582;OTHER;752
224;+578558769698;OTHER;646
225;+79399777611;MOBILE;972
226;+2637032257014;MOBILE;933
227;+477725843313;WORK;800
228;+74274899902;MOBILE;676
229;+496075632652;MOBILE;683
230;+861646092851;OTHER;925
231;+867167028202;OTHER;913
232;+865747572381;MOBILE;816
233;+482962062007;OTHER;913
234;+3868936028308;MOBILE;992
235;+862235068104;OTHER;951
236;+73613702619;MOBILE;817
237;+2129067852141;OTHER;847
238;+3744055783672;OTHER;901
239;+636708279848;WORK;379
240;+819098724208;OTHER;617
241;+864559527703;MOBILE;745
242;+867909258890;OTHER;868
243;+484635825041;OTHER;949
244;+3746516586915;OTHER;463
245;+79946444334;OTHER;983
246;+866773494028;OTHER;982
247;+868136940930;OTHER;783
248;+862001851745;OTHER;974
249;+2347723327227;WORK;873
250;+567838016153;OTHER;880
251;+849736002715;WORK;681
252;+5066901757774;WORK;800
253;+3511939873249;OTHER;942
254;+3861053145221;OTHER;925
255;+633821887735;MOBILE;865
256;+633719229686;OTHER;384
257;+3853381957097;WORK;952
258;+2372619339388;OTHER;713
259;+555923446501;OTHER;989
260;+519939759017;OTHER;737
261;+865211042642;OTHER;847
262;+75437507069;OTHER;883
263;+3718609090471;OTHER;840
264;+481674594483;MOBILE;996
265;+3805664988583;OTHER;832
266;+476566646674;OTHER;825
267;+625769618126;WORK;966
268;+528268756162;OTHER;998
269;+2697273893519;WORK;768
270;+984337226811;WORK;806
271;+3514533315610;OTHER;988
272;+559042757332;OTHER;880
273;+868798001869;MOBILE;980
274;+621484061108;MOBILE;899
275;+365274381772;MOBILE;968
276;+9703647943911;MOBILE;748
277;+863814794021;OTHER;509
278;+628759737485;OTHER;877
279;+2344565461574;MOBILE;719
280;+624929506686;OTHER;872
281;+5077086707179;WORK;967
282;+79043533597;MOBILE;987
283;+72223326715;WORK;903
284;+985233353931;MOBILE;950
285;+9763779645564;MOBILE;924
286;+18722418039;OTHER;951
287;+864253013933;WORK;956
288;+627839817377;OTHER;875
289;+9634565537599;OTHER;832
290;+4204048659587;MOBILE;880
291;+3878766095181;MOBILE;983
292;+12377480913;WORK;830
293;+869295234162;MOBILE;846
294;+867922191172;MOBILE;754
295;+486886221088;OTHER;838
296;+868397686937;MOBILE;728
297;+621262226510;OTHER;888
298;+636364223639;WORK;956
299;+864215397979;MOBILE;615
300;+524675124836;MOBILE;807
301;+622832870222;MOBILE;902
302;+627333227284;OTHER;939
303;+624602992713;OTHER;672
304;+332618688973;OTHER;875
305;+633787092761;WORK;930
306;+629954592220;WORK;653
307;+2673934345441;OTHER;837
308;+5046341690344;MOBILE;942
309;+544394379785;OTHER;888
310;+511284510586;OTHER;959
311;+633287392460;OTHER;959
312;+16023834818;OTHER;938
313;+468881398381;WORK;989
314;+666878537336;WORK;922
315;+515946303298;MOBILE;659
316;+865625277713;OTHER;918
317;+863002117563;OTHER;845
318;+5913675359573;MOBILE;986
319;+2558109868672;OTHER;944
320;+815246134899;OTHER;814
321;+866035382671;MOBILE;562
322;+335699689263;MOBILE;951
323;+3812675718196;MOBILE;674
324;+5935526852928;OTHER;879
325;+817564153567;MOBILE;346
326;+8808398820025;OTHER;902
327;+626948332867;OTHER;913
328;+477875841278;OTHER;899
329;+622445103666;OTHER;860
330;+78507499681;MOBILE;800
331;+629508344089;MOBILE;795
332;+868685634486;MOBILE;606
333;+484513630390;MOBILE;845
334;+869113769620;WORK;828
335;+814047857830;MOBILE;954
336;+621369040658;OTHER;963
337;+72548667771;MOBILE;927
338;+643911754607;MOBILE;798
339;+335188956430;OTHER;939
340;+2245432085527;OTHER;800
341;+624786230342;OTHER;754
342;+73492412882;MOBILE;909
343;+3808778063510;MOBILE;949
344;+3753772262739;OTHER;978
345;+2356834506416;OTHER;984
346;+468372514809;OTHER;916
347;+543246663624;MOBILE;704
348;+519251886301;OTHER;756
349;+486339646263;OTHER;574
350;+9634816107315;OTHER;906
351;+638605942300;OTHER;968
352;+869148601610;OTHER;963
353;+2601113537713;MOBILE;876
354;+555657819652;MOBILE;935
355;+867064616856;MOBILE;902
356;+77949348077;MOBILE;622
357;+867371880937;OTHER;970
358;+861777448617;OTHER;966
359;+9761653775040;OTHER;898
360;+79752358196;WORK;514
361;+73626316115;MOBILE;858
362;+812806677003;MOBILE;845
363;+3516728462770;OTHER;921
364;+553488442837;OTHER;994
365;+626158662513;OTHER;964
366;+5023471325679;OTHER;791
367;+3555297882576;MOBILE;978
368;+3519321695161;WORK;717
369;+75603821776;MOBILE;999
370;+489323023197;OTHER;694
371;+72992246239;OTHER;461
372;+628011298751;OTHER;899
373;+866897566914;OTHER;961
374;+466543998555;MOBILE;693
375;+315774385765;MOBILE;713
376;+865022489003;WORK;964
377;+869057705093;MOBILE;957
378;+6804188549051;MOBILE;416
379;+74568260995;WORK;927
380;+489748568560;WORK;738
381;+575312584090;OTHER;949
382;+331661319255;OTHER;941
383;+639787801453;OTHER;923
384;+74699765777;WORK;949
385;+3533125375982;OTHER;957
386;+983957049822;MOBILE;842
387;+462556946168;OTHER;911
388;+3814363994037;OTHER;113
389;+863734609535;OTHER;856
390;+482245053767;OTHER;871
391;+865326926766;OTHER;895
392;+468574622237;MOBILE;843
393;+639774149248;MOBILE;799
394;+3892177268122;OTHER;846
395;+3892294041873;WORK;949
396;+555112805856;OTHER;936
397;+3515066413014;OTHER;882
398;+869167571041;WORK;848
399;+868384187281;OTHER;650
400;+335084280584;OTHER;981
401;+3518199071879;WORK;708
402;+14126228100;WORK;932
403;+5025295782968;WORK;971
404;+2279307915621;MOBILE;984
405;+867255409529;OTHER;917
406;+464972927431;OTHER;956
407;+2555077482959;MOBILE;914
408;+2181511604599;OTHER;917
409;+665245075685;OTHER;908
410;+863915877276;WORK;918
411;+514657564305;OTHER;964
412;+338339593284;OTHER;853
413;+868922318984;OTHER;952
414;+869202385886;OTHER;826
415;+4203895480940;OTHER;914
416;+866236458164;OTHER;962
417;+868704588850;MOBILE;919
418;+555871135684;OTHER;998
419;+9772499653452;WORK;927
420;+629942701748;MOBILE;971
421;+864395326841;WORK;602
422;+78389350051;OTHER;839
423;+553702298406;MOBILE;705
424;+516616643940;OTHER;578
425;+633118723452;OTHER;965
426;+3806861750097;OTHER;937
427;+843819879910;MOBILE;720
428;+861387488931;OTHER;881
429;+341092474591;WORK;822
430;+2168413893176;MOBILE;956
431;+938092327602;OTHER;947
432;+523004772666;WORK;833
433;+3815061362222;MOBILE;819
434;+863735996724;WORK;922
435;+75772093657;MOBILE;958
436;+308002464430;OTHER;810
437;+3717851166263;OTHER;687
438;+635852624566;WORK;493
439;+639911374344;OTHER;724
440;+579296996400;WORK;808
441;+524071516895;MOBILE;962
442;+472882828337;WORK;933
443;+483134939361;OTHER;367
444;+664183422984;OTHER;915
445;+571634805822;OTHER;988
446;+624454678197;OTHER;719
447;+626757642312;OTHER;988
448;+638952651829;OTHER;958
449;+868791994271;MOBILE;959
450;+865717090431;WORK;830
451;+5934291055520;OTHER;754
452;+864055785333;MOBILE;825
453;+528236062121;MOBILE;814
454;+398914051116;WORK;802
455;+79673362691;MOBILE;995
456;+2458534998706;MOBILE;942
457;+869316508200;OTHER;682
458;+5935012317377;MOBILE;901
459;+339074047927;MOBILE;837
460;+529007299553;MOBILE;917
461;+862444106817;WORK;705
462;+558264795057;OTHER;979
463;+869353558895;MOBILE;923
464;+575027205330;OTHER;978
465;+3805026808544;OTHER;535
466;+632738813026;OTHER;809
467;+623519674478;OTHER;836
468;+17493704600;MOBILE;965
469;+3805983849979;OTHER;721
470;+861128776842;OTHER;843
471;+863067089403;WORK;620
472;+3704171827498;OTHER;909
473;+484702380522;WORK;863
474;+638104379739;OTHER;958
475;+3853659792666;OTHER;902
476;+5936431033172;WORK;807
477;+76871196878;OTHER;702
478;+624264310010;OTHER;791
479;+638011827005;WORK;901
480;+464622310256;OTHER;950
481;+2519265704559;OTHER;810
482;+331796607218;OTHER;824
483;+512115127604;WORK;842
484;+468686731901;WORK;913
485;+633071232168;WORK;978
486;+308056939293;OTHER;864
487;+3518345743981;OTHER;982
488;+864277321941;OTHER;906
489;+201961244527;OTHER;977
490;+633959284894;OTHER;598
491;+556298095784;MOBILE;686
492;+76119729808;OTHER;920
493;+3514976937885;OTHER;857
494;+862777746066;OTHER;983
495;+6892274447533;OTHER;905
496;+481528322315;MOBILE;983
497;+3801473742188;OTHER;989
498;+621698246640;MOBILE;906
499;+622964271057;MOBILE;978
500;+552252063359;OTHER;894
501;+621006340652;OTHER;628
502;+3864307138572;OTHER;912
503;+548267537099;OTHER;952
504;+2575737990306;MOBILE;340
505;+867018596164;MOBILE;951
506;+861618428086;MOBILE;680
507;+867261168805;WORK;926
508;+4203338257258;OTHER;966
509;+2346395769289;MOBILE;922
510;+541814008519;OTHER;889
511;+302782510755;OTHER;871
512;+2349826055949;OTHER;548
513;+334446073881;OTHER;983
514;+335102654745;OTHER;764
515;+628759394477;MOBILE;724
516;+628776525485;MOBILE;972
517;+867252981036;WORK;927
518;+17695088383;OTHER;996
519;+826544636787;OTHER;789
520;+867899545445;OTHER;845
521;+628921147260;OTHER;863
522;+75301051968;OTHER;966
523;+3517931147751;OTHER;814
524;+624002836274;OTHER;950
525;+631132110911;OTHER;657
526;+867932257062;OTHER;682
527;+516443057380;OTHER;959
528;+863227254536;OTHER;928
529;+9768689282437;MOBILE;994
530;+628507722928;WORK;920
531;+339214085085;OTHER;864
532;+865899386229;OTHER;731
533;+866401412725;MOBILE;813
534;+623066759200;WORK;914
535;+863506414287;OTHER;475
536;+632932630922;OTHER;841
537;+488453206725;OTHER;853
538;+71452542561;MOBILE;780
539;+868545126699;WORK;819
540;+622455487429;MOBILE;937
541;+4207176458214;MOBILE;773
542;+628757285446;OTHER;744
543;+529609183912;OTHER;821
544;+9981111086109;OTHER;621
545;+19109513225;MOBILE;970
546;+637243949878;WORK;725
547;+3518623595255;WORK;727
548;+3517089643652;OTHER;669
549;+645704070453;OTHER;961
550;+867902186614;OTHER;767
551;+813137704625;OTHER;940
552;+629483627089;OTHER;913
553;+4209275559744;WORK;960
554;+13036806462;OTHER;640
555;+466904602024;OTHER;915
556;+866619670028;WORK;573
557;+861999172480;MOBILE;907
558;+623043416221;MOBILE;878
559;+863515553440;MOBILE;926
560;+868018318236;MOBILE;960
561;+987398315593;OTHER;813
562;+629279015855;OTHER;628
563;+488872343520;OTHER;577
564;+863134049692;MOBILE;806
565;+622328679588;OTHER;955
566;+3806526992935;OTHER;804
567;+631995402668;MOBILE;910
568;+5983904530845;WORK;803
569;+629663524819;MOBILE;707
570;+634811449045;MOBILE;932
571;+867176161879;WORK;810
572;+2348802521381;MOBILE;877
573;+865118424113;OTHER;835
574;+2637755343608;WORK;928
575;+496196354079;MOBILE;620
576;+667901038076;WORK;925
577;+625705004209;MOBILE;844
578;+4209225157335;OTHER;719
579;+485745761621;MOBILE;946
580;+3816741486117;MOBILE;991
581;+13821103685;MOBILE;721
582;+623495399247;OTHER;871
583;+487735656321;OTHER;776
584;+2618012632472;MOBILE;982
585;+15718042480;OTHER;894
586;+19546638081;WORK;687
587;+627408694244;WORK;957
588;+5044764839097;OTHER;872
589;+867536090692;WORK;994
590;+18201273541;OTHER;711
591;+634141511229;WORK;949
592;+862901166423;MOBILE;755
593;+816958050950;MOBILE;879
594;+865193997656;MOBILE;803
595;+867286405750;MOBILE;906
596;+862565798424;MOBILE;998
597;+2308679331835;OTHER;822
598;+868813012728;OTHER;628
599;+639746206406;OTHER;703
600;+3748413423219;OTHER;832
601;+862391913722;OTHER;963
602;+864106202615;WORK;956
603;+3516637847665;MOBILE;856
604;+816067164898;MOBILE;911
605;+76642535081;OTHER;844
606;+2348728042785;OTHER;915
607;+861548980883;OTHER;829
608;+3516476036512;OTHER;920
609;+636377291265;MOBILE;981
610;+585203037016;WORK;911
611;+865805753998;WORK;947
612;+9723716078222;OTHER;988
613;+638728251411;MOBILE;901
614;+3586082450855;OTHER;885
615;+934273996782;WORK;518
616;+3751352381182;WORK;992
617;+75976841989;WORK;787
618;+3513334853782;MOBILE;962
619;+624318876207;OTHER;728
620;+9761963211957;WORK;413
621;+3514238223078;MOBILE;803
622;+861811297615;OTHER;612
623;+626716351157;WORK;886
624;+521048936149;OTHER;981
625;+553135277923;MOBILE;889
626;+558938336608;WORK;902
627;+319676592739;OTHER;376
628;+3511563041870;OTHER;817
629;+77254276642;OTHER;959
630;+16463090410;WORK;513
631;+3808269992170;OTHER;873
632;+861444259930;MOBILE;902
633;+3745086958285;MOBILE;579
634;+2122179391607;OTHER;622
635;+576807841539;OTHER;301
636;+867452939470;OTHER;996
637;+9708896277347;OTHER;937
638;+866859746728;MOBILE;942
639;+461198666104;OTHER;789
640;+628889483577;OTHER;897
641;+666245853206;WORK;790
642;+638251524977;WORK;845
643;+868309453495;OTHER;958
644;+19777632257;OTHER;827
645;+813901031385;OTHER;876
646;+866967900069;OTHER;983
647;+482533963821;MOBILE;972
648;+558746862408;OTHER;185
649;+333763480530;OTHER;959
650;+668015555966;OTHER;992
651;+637534359643;MOBILE;847
652;+868607420151;OTHER;991
653;+3587224220096;MOBILE;926
654;+635729551382;OTHER;989
655;+3805847770631;OTHER;886
656;+624256657737;OTHER;977
657;+466701899025;WORK;944
658;+8804811332515;MOBILE;813
659;+2993524358239;OTHER;877
660;+862787181840;WORK;605
661;+861591549743;WORK;808
662;+14046810170;OTHER;793
663;+521537401801;WORK;561
664;+634027457797;OTHER;740
665;+869247173129;OTHER;854
666;+74297524600;OTHER;814
667;+2544637331084;OTHER;999
668;+2692849877940;MOBILE;853
669;+335743244625;MOBILE;969
670;+478894003911;MOBILE;822
671;+866078772160;WORK;909
672;+541796662397;OTHER;649
673;+548956218099;WORK;772
674;+9636187755024;OTHER;905
675;+814392162896;OTHER;951
676;+525317240489;OTHER;821
677;+458076938258;OTHER;993
678;+572618560550;OTHER;922
679;+19174579571;OTHER;984
680;+466786178173;MOBILE;970
681;+464043148280;OTHER;895
682;+19313646142;WORK;917
683;+636161854043;OTHER;928
684;+3517757757268;WORK;408
685;+928272145914;OTHER;906
686;+928128135337;MOBILE;567
687;+461327718632;MOBILE;785
688;+9966207118226;MOBILE;981
689;+631469606012;MOBILE;996
690;+73376104144;OTHER;924
691;+302187081841;MOBILE;974
692;+862734448739;OTHER;835
693;+73264789659;WORK;559
694;+78696994449;WORK;923
695;+331143255663;OTHER;889
696;+276053664150;OTHER;856
697;+632556208332;MOBILE;858
698;+9987673580759;OTHER;954
699;+545692275780;WORK;826
700;+815576626072;OTHER;906
701;+2559996510932;OTHER;691
702;+466472432814;OTHER;843
703;+558883385139;WORK;993
704;+841056952265;OTHER;893
705;+866787905337;MOBILE;847
706;+3516792818158;OTHER;622
707;+335958517104;MOBILE;793
708;+2318378544902;OTHER;711
709;+588629135996;OTHER;700
710;+487367801267;WORK;741
711;+865355612647;WORK;970
712;+3716768033211;OTHER;823
713;+74499573715;WORK;649
714;+469363935283;OTHER;876
715;+866283499102;OTHER;803
716;+485979116635;MOBILE;984
717;+4207682233349;OTHER;789
718;+636671828755;OTHER;948
719;+76763656892;MOBILE;991
720;+476383739520;OTHER;712
721;+631855827451;OTHER;848
722;+865193400209;OTHER;801
723;+867535794498;WORK;951
724;+2308326494905;OTHER;976
725;+75895109706;OTHER;619
726;+3554634968559;OTHER;907
727;+861933543694;OTHER;973
728;+622966890121;WORK;966
729;+862509868761;MOBILE;932
730;+3511438649616;MOBILE;942
731;+869098037555;WORK;959
732;+633944806890;MOBILE;991
733;+633364172224;WORK;849
734;+868628664048;OTHER;841
735;+638617093979;WORK;473
736;+301428464078;OTHER;764
737;+626088197771;MOBILE;831
738;+552752758744;MOBILE;928
739;+549482405084;OTHER;692
740;+9679197287306;OTHER;989
741;+545622359854;WORK;910
742;+361887512733;OTHER;803
743;+3863845069202;WORK;821
744;+864311766656;WORK;848
745;+12128809745;MOBILE;907
746;+866005308731;OTHER;989
747;+624651595082;MOBILE;913
748;+622494239956;OTHER;911
749;+3808246167751;OTHER;920
750;+19893899738;MOBILE;928
751;+861114794140;MOBILE;556
752;+465917465396;WORK;812
753;+3899511201282;WORK;896
754;+77118120521;OTHER;939
755;+478877156048;WORK;994
756;+583744365465;OTHER;761
757;+557222591149;OTHER;938
758;+865986148624;OTHER;237
759;+636078907055;MOBILE;987
760;+574729856654;OTHER;826
761;+868569076058;WORK;760
762;+3804369644505;OTHER;864
763;+577783318165;MOBILE;888
764;+815803955195;WORK;989
765;+336735008371;OTHER;861
766;+529211461820;MOBILE;924
767;+867199861639;WORK;918
768;+9677929907179;OTHER;854
769;+3515135304598;MOBILE;883
770;+864844111889;OTHER;894
771;+466049454933;OTHER;622
772;+2345465693492;WORK;938
773;+572465115908;WORK;973
774;+3705674161118;WORK;812
775;+863552084031;OTHER;716
776;+526307552661;MOBILE;830
777;+5044263783293;MOBILE;909
778;+2236988385697;WORK;962
779;+12131760633;WORK;873
780;+987383192132;MOBILE;926
781;+867197754279;WORK;977
782;+626112944318;OTHER;713
783;+75386017321;OTHER;920
784;+867648144616;OTHER;903
785;+73703336223;WORK;920
786;+469382660917;WORK;618
787;+3809755000990;MOBILE;889
788;+863851321257;OTHER;754
789;+17074477089;WORK;989
790;+864993571418;OTHER;939
791;+5041308132782;MOBILE;994
792;+815511659018;MOBILE;974
793;+545131347933;OTHER;969
794;+9765287400152;OTHER;916
795;+867754024750;MOBILE;987
796;+637309783482;WORK;803
797;+554038399187;OTHER;818
798;+862073682253;OTHER;582
799;+864846724812;WORK;807
800;+623602999434;MOBILE;743
801;+553783913097;OTHER;660
802;+8807348673421;WORK;923
803;+561315447724;OTHER;924
804;+334005138221;OTHER;946
805;+412289117673;OTHER;925
806;+626518864666;OTHER;713
807;+314057020392;MOBILE;831
808;+465324781212;WORK;949
809;+8552489566608;OTHER;970
810;+621469506373;OTHER;820
811;+2566628759030;OTHER;900
812;+866027152207;OTHER;626
813;+2301175584008;WORK;816
814;+869511283822;OTHER;828
815;+484587135003;OTHER;934
816;+532267442097;WORK;945
817;+2677245460683;WORK;941
818;+865472908666;OTHER;390
819;+561826779376;MOBILE;908
820;+483104597981;MOBILE;782
821;+4207299360434;OTHER;826
822;+868516494850;OTHER;959
823;+865539587703;WORK;714
824;+864148418399;OTHER;985
825;+511466222859;OTHER;806
826;+488101161127;WORK;621
827;+551793964956;WORK;996
828;+2345716492917;MOBILE;892
829;+604268676637;OTHER;767
830;+863651319545;WORK;846
831;+3555584578118;WORK;905
832;+623284428044;WORK;986
833;+867701404494;OTHER;751
834;+625171312913;OTHER;904
835;+9959038670439;MOBILE;961
836;+75516348863;OTHER;974
837;+4205897880851;OTHER;996
838;+9721347776260;OTHER;739
839;+624617179042;MOBILE;910
840;+607593366433;OTHER;984
841;+3879646335758;OTHER;503
842;+3752909841090;OTHER;976
843;+413941657000;OTHER;781
844;+869929439436;WORK;784
845;+867269536266;OTHER;784
846;+814309790971;WORK;989
847;+628834946267;OTHER;656
848;+484379287581;OTHER;905
849;+868335506443;OTHER;113
850;+2617184621140;OTHER;672
851;+626014868040;OTHER;931
852;+866674437926;OTHER;966
853;+3597358947553;WORK;927
854;+8804032742356;MOBILE;957
855;+77859698427;MOBILE;982
856;+16166653303;MOBILE;982
857;+346242365231;WORK;942
858;+3596347099327;MOBILE;987
859;+622317846561;OTHER;793
860;+362627714871;WORK;392
861;+812987737008;OTHER;905
862;+2524874819434;WORK;965
863;+15555654981;MOBILE;814
864;+79603431477;OTHER;833
865;+468758288450;MOBILE;854
866;+79444165469;WORK;851
867;+2164052121674;WORK;899
868;+3514849348997;MOBILE;999
869;+9641955463794;WORK;990
870;+71141844171;WORK;964
871;+469291646958;OTHER;987
872;+2235681302160;OTHER;907
873;+863567133797;OTHER;944
874;+3517312658432;OTHER;788
875;+465804904598;WORK;701
876;+632547240346;MOBILE;824
877;+71573606364;OTHER;947
878;+336127118771;OTHER;994
879;+4204535211447;OTHER;939
880;+482493379814;OTHER;788
881;+3857168287620;MOBILE;722
882;+317739211086;MOBILE;903
883;+17191974815;WORK;988
884;+483584830111;OTHER;960
885;+466767559437;OTHER;856
886;+822057309303;WORK;909
887;+868954201800;OTHER;542
888;+625647888334;OTHER;928
889;+868692677815;WORK;938
890;+3805936567686;MOBILE;746
891;+3816203566096;MOBILE;986
892;+9923551893840;OTHER;918
893;+75753888816;WORK;839
894;+2421284653735;OTHER;987
895;+626363067712;MOBILE;920
896;+868185058142;OTHER;939
897;+74083380170;OTHER;864
898;+3808635949948;OTHER;923
899;+12243388147;OTHER;842
900;+626466866807;OTHER;810
901;+628785136525;WORK;882
902;+554282633054;MOBILE;768
903;+3518776692442;OTHER;631
904;+869746367416;OTHER;930
905;+868452707186;MOBILE;920
906;+621986640963;WORK;912
907;+666189038436;WORK;874
908;+3709107632085;OTHER;989
909;+867969215632;OTHER;962
910;+19062081382;MOBILE;932
911;+79886726132;OTHER;909
